"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"1","bron","Plaats waar op natuurlijke wijze water uit de grond opwelt.","BRT","-","-","ja","nee","nee","01-01-2026","-"
"2","greppel, droge sloot","Een ten behoeve van de waterbeheersing gegraven geul die al dan niet met water bedekt is.","BGT","-","-","nee","ja","nee","01-01-2026","-"
"3","waterloop","Een voor de waterbeheersing bestemde geul die meestal permanent water bevat (zoals rivier, kanaal, beek, sloot, gracht).","BGT","-","-","nee","ja","ja","01-01-2026","-"
"4","watervlakte","Alle oppervlakken die vrij permanent met zoet water zijn bedekt. (zoals meer, plas, ven, vijver).","BGT","-","-","nee","nee","ja","01-01-2026","-"
"5","water met riet","Alle oppervlakken die vrij permanent met zoet water zijn bedekt en begroeid zijn met riet.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"6","droogvallend","Geheel of gedeeltelijk droogvallende gronden, buitendijks gelegen, begrensd door de lijnen gemiddeld hoog water en gemiddeld laag water.","BRT","-","-","nee","nee","ja","01-01-2026","-"
"7","droogvallend (LAT)","Geheel of gedeeltelijk droogvallende gronden, buitendijks gelegen, begrensd door de lijnen gemiddeld laag water en laagste astronomisch getij (LAT).","BRT","-","-","nee","nee","ja","01-01-2026","-"
"8","zee","Uitgestrekt oppervlak zout water.","BGT","-","-","nee","nee","ja","01-01-2026","-"
