"Code","Attribuutwaarde","Definitie attribuutwaarde","Herkomst definitie","Inwinningscriteria","Volledigheid","Punt","Lijn","Vlak","Datum vanaf","Datum tot"
"BAG","BAG","Basisregistratie Adressen en gebouwen.","BAG","-","-","-","-","-","01-01-2026","-"
"BGT","BGT","Basisregistratie Grootschalige Topografie.","BGT","-","-","-","-","-","01-01-2026","-"
"BRK","BRK","Basisregistratie Kadaster.","BRK","-","-","-","-","-","01-01-2026","-"
"NWB","NWB","Nationaal Wegenbestand.","NWB","-","-","-","-","-","01-01-2026","-"
"AHN","AHN","Actueel Hoogtebestand Nederland.","AHN","-","-","-","-","-","01-01-2026","-"
"Eigen inwinning","Eigen inwinning","Eigen inwinning voor de BRT door het Kadaster.","BRT","-","-","-","-","-","01-01-2026","-"
"TOP10NL","TOP10NL","Laatste versie van TOP10NL, gebruikt in de initiële vulling van de nieuwe BRT.","BRT","-","-","-","-","-","01-01-2026","-"
